target_name,kind,method,scheme,stl,seed,d,kappa,tau,dt,batch_size,n_steps,tail_mean_gap,tail_median_gap,tail_std_gap,final_gap,tail_steps,spd_fail
gaussian,gaussian,riemannian,riemannian,0,8,2,100.0,0.0,0.1,1,2000,0.0619724744971593,0.0468260742969288,0.0564990606256112,0.0276097942648974,400,0
gaussian,gaussian,riemannian,riemannian,0,9,2,100.0,0.0,0.1,1,2000,0.0535034718071869,0.035957609383219,0.0540555722786024,0.0348300458785371,400,0
gaussian,gaussian,riemannian,riemannian,0,10,2,100.0,0.0,0.1,1,2000,0.0477301695050468,0.0322900573331595,0.0509240599179273,0.0714648318111808,400,0
gaussian,gaussian,riemannian,riemannian,0,11,2,100.0,0.0,0.1,1,2000,0.0504898388215538,0.0377344410485465,0.0458970534485578,0.1239987779243374,400,0
gaussian,gaussian,riemannian,riemannian,0,12,2,100.0,0.0,0.1,1,2000,0.0443226757024158,0.032005820269639,0.0405706297788604,0.0582535541482618,400,0
gaussian,gaussian,riemannian,riemannian,0,13,2,100.0,0.0,0.1,1,2000,0.0546808631230378,0.039549405439701,0.0502810785014917,0.0625461608070292,400,0
gaussian,gaussian,riemannian,riemannian,0,14,2,100.0,0.0,0.1,1,2000,0.05402715371746,0.0384999917226043,0.0521476175658056,0.0471866116475001,400,0
gaussian,gaussian,riemannian,riemannian,0,15,2,100.0,0.0,0.1,1,2000,0.0431598739305219,0.0305700425555467,0.0412481208674663,0.0456985886429264,400,0
gaussian,gaussian,riemannian,riemannian,0,16,2,100.0,0.0,0.1,1,2000,0.0438495813685644,0.0272221863249472,0.0509675195135311,0.0026724932006907,400,0
gaussian,gaussian,riemannian,riemannian,0,17,2,100.0,0.0,0.1,1,2000,0.0520555951349158,0.035546917900969,0.0530727996418596,0.0618622443930958,400,0
gaussian,gaussian,riemannian,riemannian,0,18,2,100.0,0.0,0.1,1,2000,0.0531141057854006,0.0395813107473231,0.0509618160422413,0.0418971561948919,400,0
gaussian,gaussian,riemannian,riemannian,0,19,2,100.0,0.0,0.1,1,2000,0.0508897321598918,0.0357097311260138,0.046786736688971,0.0595246286425215,400,0
gaussian,gaussian,kl,kl,0,0,2,100.0,0.0,0.1,1,2000,0.0502731336917855,0.0368330718105458,0.0455926456679559,0.0029991968513072,400,0
gaussian,gaussian,kl,kl,0,1,2,100.0,0.0,0.1,1,2000,0.0714887476830951,0.0518009855000841,0.0633198052822747,0.0511986006339963,400,0
gaussian,gaussian,kl,kl,0,2,2,100.0,0.0,0.1,1,2000,0.0373575846881989,0.0270738029069826,0.0316602059810859,0.0026089856735673,400,0
gaussian,gaussian,kl,kl,0,3,2,100.0,0.0,0.1,1,2000,0.0398126239287271,0.0248018155915211,0.0427461666602814,0.0440530915906622,400,0
gaussian,gaussian,kl,kl,0,4,2,100.0,0.0,0.1,1,2000,0.0546632979494877,0.0342193472377552,0.0560636587809798,0.041070385688219,400,0
gaussian,gaussian,kl,kl,0,5,2,100.0,0.0,0.1,1,2000,0.0634115247498121,0.049978992904619,0.0555791220087151,0.0200832915844588,400,0
gaussian,gaussian,kl,kl,0,6,2,100.0,0.0,0.1,1,2000,0.0408501149536197,0.0283113874673531,0.041840643764147,0.0035704115927273,400,0
gaussian,gaussian,kl,kl,0,7,2,100.0,0.0,0.1,1,2000,0.047200068481288,0.0346904870377294,0.0409907662162297,0.0013167229168828,400,0
gaussian,gaussian,kl,kl,0,8,2,100.0,0.0,0.1,1,2000,0.0619724744971594,0.0468260742969289,0.056499060625611,0.0276097942648976,400,0
gaussian,gaussian,kl,kl,0,9,2,100.0,0.0,0.1,1,2000,0.053503471807187,0.0359576093832192,0.0540555722786023,0.0348300458785373,400,0
gaussian,gaussian,kl,kl,0,10,2,100.0,0.0,0.1,1,2000,0.0477301695050469,0.0322900573331598,0.0509240599179272,0.071464831811181,400,0
gaussian,gaussian,kl,kl,0,11,2,100.0,0.0,0.1,1,2000,0.0504898388215539,0.0377344410485466,0.0458970534485577,0.1239987779243372,400,0
gaussian,gaussian,kl,kl,0,12,2,100.0,0.0,0.1,1,2000,0.0443226757024159,0.0320058202696391,0.0405706297788603,0.058253554148262,400,0
gaussian,gaussian,kl,kl,0,13,2,100.0,0.0,0.1,1,2000,0.0546808631230379,0.0395494054397012,0.0502810785014916,0.0625461608070294,400,0
gaussian,gaussian,kl,kl,0,14,2,100.0,0.0,0.1,1,2000,0.0540271537174601,0.0384999917226045,0.0521476175658054,0.0471866116475001,400,0
gaussian,gaussian,kl,kl,0,15,2,100.0,0.0,0.1,1,2000,0.0431598739305221,0.0305700425555469,0.0412481208674662,0.0456985886429266,400,0
gaussian,gaussian,kl,kl,0,16,2,100.0,0.0,0.1,1,2000,0.0438495813685645,0.0272221863249474,0.0509675195135309,0.0026724932006909,400,0
gaussian,gaussian,kl,kl,0,17,2,100.0,0.0,0.1,1,2000,0.0520555951349159,0.0355469179009692,0.0530727996418595,0.0618622443930958,400,0
gaussian,gaussian,kl,kl,0,18,2,100.0,0.0,0.1,1,2000,0.0531141057854007,0.0395813107473232,0.0509618160422412,0.0418971561948919,400,0
gaussian,gaussian,kl,kl,0,19,2,100.0,0.0,0.1,1,2000,0.0508897321598919,0.0357097311260139,0.0467867366889709,0.0595246286425215,400,0
gaussian,gaussian,riemannian,riemannian,0,0,2,100.0,0.0,0.1,4,2000,0.0115959350518332,0.0087159450462848,0.0116585516857613,0.0131090127330706,400,0
gaussian,gaussian,riemannian,riemannian,0,1,2,100.0,0.0,0.1,4,2000,0.0143437779424668,0.0101352364409431,0.0139335537299305,0.0058156034327008,400,0
gaussian,gaussian,riemannian,riemannian,0,2,2,100.0,0.0,0.1,4,2000,0.0133174977771738,0.0093389773950309,0.0122969704672334,0.000718154849068,400,0
gaussian,gaussian,riemannian,riemannian,0,3,2,100.0,0.0,0.1,4,2000,0.0125683711668718,0.008915227316332,0.012078610847134,0.0015344148211215,400,0
gaussian,gaussian,riemannian,riemannian,0,4,2,100.0,0.0,0.1,4,2000,0.0123346864230964,0.0085790641505534,0.0119515523170049,0.0019145099854702,400,0
gaussian,gaussian,riemannian,riemannian,0,5,2,100.0,0.0,0.1,4,2000,0.0112781659830687,0.0079852552303564,0.0110250455234589,0.0182490074572558,400,0
gaussian,gaussian,riemannian,riemannian,0,6,2,100.0,0.0,0.1,4,2000,0.0139841195169297,0.0093931577544146,0.0129480596121569,0.0019660591027392,400,0
