n,omega,tau_type,tau_value,init_name,dt,T,final_energy,final_normalized_energy,time_to_1e_minus_2,time_to_1e_minus_4,time_to_1e_minus_6,monotone_energy_bool,min_eig_min_over_time,max_eig_max_over_time
10,0.125,positive,0.00625,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.125,positive,0.00625,volume_high,0.02,20.0,8.881784197001252e-16,1.1007935998990615e-16,0.6,1.4000000000000001,2.2,True,1.0000000000000013,4.0
10,0.125,positive,0.00625,volume_low,0.02,20.0,0.0,0.0,1.2,2.1,2.9,True,0.25,0.9999999999999982
10,0.125,positive,0.00625,shape_only,0.02,20.0,0.0,0.0,0.7000000000000001,1.4000000000000001,2.1,True,0.1353352832366127,7.38905609893065
10,0.125,positive,0.00625,mixed,0.02,20.0,8.881784197001252e-16,1.4235719785288248e-16,1.5,3.8000000000000003,6.1000000000000005,True,0.44626032029685964,8.963378140676129
10,0.25,negative,-0.0125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.25,negative,-0.0125,volume_high,0.02,20.0,0.0,0.0,0.4,0.9,1.5,True,1.0000000000000007,4.0
10,0.25,negative,-0.0125,volume_low,0.02,20.0,0.0,0.0,0.8,1.4000000000000001,2.0,True,0.25,0.9999999999999986
10,0.25,negative,-0.0125,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.6,3.8000000000000003,True,0.1353352832366127,7.38905609893065
10,0.25,negative,-0.0125,mixed,0.02,20.0,0.0,0.0,1.7,4.0,6.3,True,0.41353637083574823,8.963378140676129
10,0.25,zero,0.0,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.25,zero,0.0,volume_high,0.02,20.0,8.881784197001252e-16,1.1007935998990615e-16,0.8,1.9000000000000001,3.0,True,1.0000000000000013,4.0
10,0.25,zero,0.0,volume_low,0.02,20.0,0.0,0.0,1.6,2.8000000000000003,3.9,True,0.25,0.9999999999999972
10,0.25,zero,0.0,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.6,3.8000000000000003,True,0.1353352832366127,7.38905609893065
10,0.25,zero,0.0,mixed,0.02,20.0,8.881784197001252e-16,1.4235719785288248e-16,1.6,3.8000000000000003,6.1000000000000005,True,0.44626032029685964,8.963378140676129
10,0.25,positive,0.0125,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.25,positive,0.0125,volume_high,0.02,20.0,0.0,0.0,1.2,2.8000000000000003,4.5,True,1.0000000000013418,4.0
10,0.25,positive,0.0125,volume_low,0.02,20.0,0.0,0.0,2.4,4.2,5.9,True,0.25,0.9999999999944161
10,0.25,positive,0.0125,shape_only,0.02,20.0,0.0,0.0,1.4000000000000001,2.7,4.2,True,0.1353352832366127,7.38905609893065
10,0.25,positive,0.0125,mixed,0.02,20.0,0.0,0.0,1.5,3.7,5.9,True,0.44626032029685964,8.963378140676129
10,0.5,negative,-0.025,mean_only,0.02,20.0,0.0,0.0,2.3000000000000003,4.6000000000000005,6.9,True,1.0,1.0
10,0.5,negative,-0.025,volume_high,0.02,20.0,8.881784197001252e-16,1.1007935998990615e-16,0.8,1.9000000000000001,3.0,True,1.000000000000001,4.0
